Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-March-2019,313.80,313.80,307.85,309.35,310.615930713346563690,283691,2547,88118944.00,30098,10.61,5.95,-4.45
5-March-2019,308.00,309.50,304.00,308.05,306.025300134248706084,1713983,3684,524522162.00,1341417,78.26,5.50,0.05
1-March-2019,320.50,320.50,302.60,307.05,307.332664882784380952,1154411,12458,354788209.00,152308,13.19,17.90,-13.45
28-February-2019,324.15,326.85,316.05,317.95,320.502683517177380007,209054,2413,67002368.00,22574,10.80,10.80,-6.20
27-February-2019,320.95,325.00,314.65,319.95,319.387238467294442338,205806,2206,65731810.00,17165,8.34,10.35,-1.00
26-February-2019,318.00,320.20,301.00,315.35,316.672770770376209871,182664,1495,57844715.00,11028,6.04,19.20,-2.65
25-February-2019,313.00,319.90,312.05,318.05,316.277927063339731285,151090,1445,47786432.00,13259,8.78,7.85,5.05
22-February-2019,309.70,316.20,308.05,313.00,313.420967897116833969,155905,1472,48863896.00,18207,11.68,8.15,3.30
21-February-2019,307.00,311.00,302.95,310.20,306.080844384303112313,184750,1413,56548436.00,8516,4.61,8.05,3.20
20-February-2019,305.00,310.80,305.00,309.55,307.787355889724310776,159600,1366,49122862.00,16508,10.34,5.80,4.55
19-February-2019,301.20,313.20,301.05,304.25,309.053319009385954992,265290,2711,81988755.00,19550,7.37,12.15,3.05
18-February-2019,305.20,309.00,300.20,302.50,302.294824529594262460,99276,934,30010621.00,7448,7.50,8.80,-2.70
15-February-2019,301.85,305.60,297.85,304.35,301.850796663790624101,173850,1635,52476761.00,28750,16.54,7.75,2.50
14-February-2019,310.00,310.00,296.85,301.05,301.605818359320297839,249933,3250,75381247.00,18598,7.44,13.15,-8.95
13-February-2019,311.00,312.85,307.50,310.65,310.527731210536354236,99617,807,30933841.00,4916,4.93,5.35,-0.35
12-February-2019,312.00,315.30,310.00,311.50,312.450315293085485551,91185,882,28490782.00,15272,16.75,5.30,-0.50
11-February-2019,316.90,316.90,311.30,313.05,313.179228334331422705,116890,1524,36607520.00,10996,9.41,5.60,-3.85
8-February-2019,310.90,314.40,306.20,313.60,311.239701939706440185,155539,1485,48409912.00,19077,12.27,8.20,2.70
7-February-2019,308.30,314.00,305.20,310.95,311.310488939165409753,190944,1612,59442870.00,10112,5.30,8.80,2.65
6-February-2019,308.00,309.90,301.15,308.30,305.243897050701424942,262537,2057,80137817.00,10314,3.93,8.75,0.30
5-February-2019,295.50,310.60,293.30,307.85,301.833910180756568730,804950,7408,242961206.00,28057,3.49,17.30,12.35
4-February-2019,311.00,311.05,302.25,306.60,305.374947762518390455,174683,1571,53343812.00,11212,6.42,8.80,-4.40
1-February-2019,305.95,320.45,305.25,311.30,313.051297510055379951,464428,4697,145389788.00,24933,5.37,15.20,5.35
31-January-2019,305.00,310.55,303.85,307.15,306.371632227579711661,248458,2753,76120483.00,23987,9.65,6.70,2.15
30-January-2019,309.90,312.65,300.00,303.35,307.661024827578192635,172107,1700,52950616.00,15246,8.86,12.65,-6.55
29-January-2019,309.00,309.70,301.65,307.10,306.769311343721330068,138429,1403,42465769.00,20034,14.47,8.05,-1.90
28-January-2019,308.90,308.90,294.95,304.90,302.874325029554918897,187786,1641,56875558.00,19244,10.25,13.95,-4.00
25-January-2019,304.00,311.50,302.00,307.05,306.840210089896151009,301014,2583,92363199.00,15125,5.02,9.50,3.05
24-January-2019,304.25,307.95,294.80,301.60,302.008732176412070299,352833,3493,106558647.00,40943,11.60,13.15,-2.65
23-January-2019,307.00,307.50,303.00,304.05,304.767379817505447813,173923,1982,53006057.00,29470,16.94,4.50,-2.95
22-January-2019,312.70,312.70,302.00,304.25,307.023253593085995320,272259,2514,83589844.00,38020,13.96,10.70,-8.45
21-January-2019,317.70,317.70,306.30,310.45,311.128113187405738748,365341,3327,113667856.00,29000,7.94,11.40,-7.25
18-January-2019,331.45,332.35,305.10,310.95,314.085887515583066693,740387,7207,232545108.00,87255,11.79,27.25,-20.50
17-January-2019,334.00,338.10,330.30,332.30,332.933052961890324825,169537,1647,56444471.00,20590,12.14,7.80,-1.70
16-January-2019,337.50,345.00,331.25,333.35,338.374561097119326433,380779,3224,128845927.00,35649,9.36,13.75,-4.15
15-January-2019,330.00,338.80,326.45,337.65,331.941788695665591679,259228,2533,86048606.00,44969,17.35,12.35,7.65
14-January-2019,334.05,334.10,317.95,331.90,330.801755404528533861,146405,1905,48431031.00,12129,8.28,16.15,-2.15
11-January-2019,337.25,338.85,329.50,334.05,332.792025557489475015,268884,2338,89482451.00,27998,10.41,9.35,-3.20
10-January-2019,335.20,338.25,332.60,337.25,335.377771897779067583,117158,1350,39292189.00,8460,7.22,5.65,2.05
9-January-2019,330.50,340.00,327.45,335.15,332.643626708376857406,365698,3708,121647109.00,57939,15.84,12.55,4.65
8-January-2019,325.40,331.50,323.20,328.85,328.849897440804829643,240349,1941,79038744.00,61952,25.78,8.30,3.45
7-January-2019,322.70,327.60,322.35,324.45,324.841139086497860097,419178,2092,136166259.00,21256,5.07,5.25,1.75
4-January-2019,313.00,324.40,313.00,322.60,320.052051295849390882,483158,4031,154635709.00,52089,10.78,11.40,9.60
3-January-2019,312.00,315.45,308.15,313.15,311.815822652146300716,319643,2721,99669745.00,13318,4.17,7.30,1.15
2-January-2019,316.00,320.75,309.20,312.80,314.025480552005473580,387315,2979,121626779.00,40764,10.52,11.55,-3.20
1-January-2019,316.80,322.00,313.55,319.55,312.987276796400554628,13410066,2770,4197180039.00,13123920,97.87,8.45,2.75
31-December-2018,319.80,321.00,312.00,312.90,315.192597654527819416,181456,1958,57193588.00,34057,18.77,9.00,-6.90
28-December-2018,316.55,321.00,314.35,316.20,318.368018375490404283,357868,2848,113933726.00,97932,27.37,6.65,-0.35
27-December-2018,322.90,326.15,314.00,316.35,317.376249748311398290,546310,5412,173385819.00,147226,26.95,12.15,-6.55
26-December-2018,310.95,323.95,303.00,321.20,311.337941070209947412,498220,4232,155114789.00,81328,16.32,20.95,10.25
24-December-2018,307.90,313.50,304.40,309.00,308.215515807520567049,312636,3069,96359266.00,31226,9.99,9.10,1.10
21-December-2018,319.90,324.60,305.55,307.50,314.474968601815637680,613889,5997,193052724.00,92684,15.10,19.05,-12.40
20-December-2018,316.00,321.20,314.25,316.15,317.116745188852511379,262983,2271,83396313.00,34782,13.23,6.95,0.15
19-December-2018,321.80,323.50,318.00,322.25,320.660095726939986572,230865,2622,74029193.00,53961,23.37,5.50,0.45
18-December-2018,314.70,320.00,312.00,317.15,315.908156085819427407,432070,3454,136494437.00,49497,11.46,8.00,2.45
17-December-2018,320.00,323.05,313.00,314.65,317.963404921619542219,665472,5143,211595743.00,74933,11.26,10.05,-5.35
14-December-2018,304.00,332.90,304.00,318.80,318.320442072100093310,1196004,12139,380712522.00,73081,6.11,28.90,14.80
