Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-March-2019,6.70,6.78,5.88,6.07,6.312564613154653935,7101882,94414,44831089.00,3779839,53.22,0.90,-0.63
5-March-2019,6.57,6.70,6.44,6.64,6.621644813134631543,3820130,3210,25295544.00,1868543,48.91,0.26,0.07
1-March-2019,6.54,6.71,6.50,6.61,6.597220713061996258,5089291,7893,33575176.00,2070381,40.68,0.21,0.07
28-February-2019,6.60,6.60,6.30,6.48,6.447700726479713269,9634130,24604,62117987.00,1421601,14.76,0.30,-0.12
27-February-2019,6.50,6.68,6.20,6.50,6.458134031431479171,12073183,309716,77970234.00,2424941,20.09,0.48,0.00
26-February-2019,5.96,6.68,5.89,6.39,6.247496616019117904,11419243,256690,71341682.00,1662825,14.56,0.79,0.43
25-February-2019,6.59,6.59,5.90,6.01,6.073623069550981102,12569226,326331,76340741.00,2914774,23.19,0.69,-0.58
22-February-2019,6.38,7.53,6.28,6.54,6.841317941291046092,23249503,361695,159057242.00,4508474,19.39,1.25,0.16
21-February-2019,5.90,6.54,5.72,6.33,6.059713822480958283,12623074,201378,76492216.00,2152913,17.06,0.82,0.43
20-February-2019,6.09,6.17,5.45,5.80,5.739042393456040842,9869377,21610,56640773.00,1674330,16.96,0.72,-0.29
19-February-2019,6.29,6.29,5.96,6.02,6.107874323515185595,7821129,25841,47770473.00,1255325,16.05,0.33,-0.27
18-February-2019,6.05,6.47,5.91,6.10,6.119818309403954084,11782448,74224,72106441.00,2219774,18.84,0.56,0.05
15-February-2019,5.55,5.69,5.40,5.50,5.531427703460923235,7452549,260185,41223236.00,799491,10.73,0.29,-0.05
14-February-2019,5.74,5.75,5.21,5.54,5.523817275707820972,9208190,130248,50864359.00,1343342,14.59,0.54,-0.20
13-February-2019,5.60,6.06,5.38,5.77,5.779994792735118546,14994436,231376,86667762.00,2835340,18.91,0.68,0.17
12-February-2019,5.38,5.75,5.11,5.62,5.421951504719040890,11296893,141418,61251206.00,1720313,15.23,0.64,0.24
