Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-March-2019,29.95,31.95,29.90,31.20,31.019881005915258249,4761077,6772,147688042.00,565436,11.88,2.05,1.25
5-March-2019,30.00,30.50,29.50,29.90,30.112427147960142884,2170152,4737,65348544.00,358604,16.52,1.00,-0.10
1-March-2019,30.50,30.50,29.65,29.90,29.909714309215699082,1653396,3022,49452602.00,335677,20.30,0.85,-0.60
28-February-2019,29.55,30.20,29.10,29.80,29.798595649564199268,911311,1521,27155788.00,216623,23.77,1.10,0.25
27-February-2019,30.20,30.55,29.40,29.50,29.938338650737164666,1379746,2068,41307303.00,275043,19.93,1.15,-0.70
26-February-2019,30.25,30.40,29.30,29.80,29.808690809665573825,1194135,2111,35595601.00,131831,11.04,1.10,-0.45
25-February-2019,30.50,31.00,30.25,30.50,30.568067339697532728,983313,1522,30057978.00,133861,13.61,0.75,0.00
22-February-2019,31.20,31.35,30.20,30.40,30.709992091317655936,1266962,2892,38908393.00,191075,15.08,1.15,-0.80
21-February-2019,30.70,31.20,30.25,31.00,30.681991477909845256,1516060,1988,46515740.00,82221,5.42,0.95,0.30
20-February-2019,30.35,30.90,29.95,30.70,30.400301735594955650,812632,1642,24704258.00,129222,15.90,0.95,0.35
19-February-2019,30.55,31.20,30.05,30.35,30.614125362632912673,1264364,2149,38707398.00,173979,13.76,1.15,-0.20
18-February-2019,30.80,30.80,29.80,30.55,30.264152324495860918,887999,1417,26874537.00,110877,12.49,1.00,-0.25
15-February-2019,31.20,31.20,29.60,30.05,30.151251491573305962,1888107,2793,56928789.00,239049,12.66,1.60,-1.15
14-February-2019,30.90,31.85,29.80,31.40,30.889103924360041902,1489160,2708,45998818.00,102982,6.92,2.05,0.50
13-February-2019,29.75,30.60,29.60,30.45,30.191248465654877010,1404508,2727,42403850.00,317752,22.62,1.00,0.70
12-February-2019,31.10,31.10,29.10,29.50,29.924516581951881630,1434421,2404,42924355.00,298672,20.82,2.00,-1.60
11-February-2019,30.95,31.90,29.65,31.00,30.347223078790423640,1524170,2494,46254327.00,163372,10.72,2.25,0.05
8-February-2019,31.40,31.95,29.75,30.40,30.474008510162965071,2220169,2898,67657449.00,129839,5.85,2.20,-1.00
7-February-2019,29.20,33.00,29.20,32.25,31.586854105418601784,3918151,6726,123762064.00,424075,10.82,3.80,3.05
6-February-2019,30.25,30.30,28.80,29.80,29.535682447973828175,1902504,2523,56191754.00,304620,16.01,1.50,-0.45
5-February-2019,30.10,30.60,29.25,30.30,29.905908651016372626,1814492,2273,54264032.00,353955,19.51,1.35,0.20
4-February-2019,31.25,31.25,29.45,29.95,30.000234682401562923,1312412,1620,39372668.00,135390,10.32,1.80,-1.30
1-February-2019,30.30,31.30,30.10,30.85,30.721796085820165840,1232391,1621,37861265.00,144077,11.69,1.20,0.55
31-January-2019,30.45,30.95,29.60,30.10,30.219063356228867087,876299,1671,26480935.00,132247,15.09,1.35,-0.35
30-January-2019,31.25,31.40,30.20,30.45,30.701049539637076902,1024735,1520,31460440.00,145812,14.23,1.20,-0.80
29-January-2019,31.00,32.50,30.10,30.70,31.359630045464396289,3013127,4018,94490548.00,161823,5.37,2.40,-0.30
28-January-2019,32.50,32.80,29.30,31.10,30.633394761674118471,2591095,4063,79374036.00,500955,19.33,3.50,-1.40
25-January-2019,33.90,34.20,32.10,32.80,33.391347379484794133,1059887,1577,35391055.00,148450,14.01,2.10,-1.10
